"Verbs","Literal Example","Non-Literal Example"
"bantay","Ang iro nagbantay sa balay sa gabii.","Bantay lang ka kung madakpan ka sa imong gibuhat!"
"mogawas","Mogawas ko sa balay aron mopalit og pan.","Mogawas ra ang tinuod nga intensyon sa taas nga panahon."
"pukawon","Gipukaw nako siya kay sayo na sa buntag.","Gipukaw sa trahedya ang ilang kaisog ug panaghiusa."
"ul-ol","Ang bata nag-ul-ol sa iyang dulaan.","Ayaw pag-ul-ol anang butanga, seryoso ni!"
"pagtan-aw, kitkit, paglingi","Naglingi-lingi siya aron pangitaon ang iyang higala.","Ayaw kitkita ang kagahapon, magpadayon ta sa unahan."
"lupad","Ang langgam nilupad paingon sa kahoy.","Nilupad ang akong damgo, wala matuman."
"luhod","Nagluhod siya samtang nag-ampo sa simbahan.","Luhod nalang ta ani kung magpadayon ang problema."
"punit","Gipunit nako ang lapis nga nahulog sa salog.","Nagpunit siya og maayong oportunidad sa iyang kinabuhi."
"bitay","Gibitay niya ang iyang sanina sa pisi.","Nabitay sa kawad-on ang ilang panginabuhi."
"hunong","Mihunong ang sakyanan sa pedestrian lane.","Hunonga ang imong mga bakak, daghan na kaayo!"
"sakay","Misakay siya sa jeep padulong sa merkado.","Misakay siya sa problema sa uban bisag dili siya apil."
"daug","Midaug siya sa kompetisyon sa basketball.","Midaug siya sa iyang mga pagsulay sa kinabuhi."
"buhat","Nagbuhat siya og balay sa yuta nga iyang gipalit.","Buhata ang imong mga damgo, ayaw lang damgoa."
"kuha","Gikuha nako ang libro sa lamesa.","Gikuha sa iyang kasuko ang ilang panag-uban."
"gunit","Gunit pag-ayo sa pisi aron dili mahulog.","Gunit lang sa paglaum, malampasan ra ni nimo."
